Package,Declaring class,Method,Params,CC
org.apache.commons.cli,CommandLine,hasOption,"(OptionGroup optionGroup)",1
org.apache.commons.cli,CommandLine,hasOption,"(String opt)",1
org.apache.commons.cli,CommandLine,iterator,"()",1
org.apache.commons.cli,CommandLine,resolveOption,"(String opt)",1
org.apache.commons.cli,Builder,addArg,"(String arg)",1
org.apache.commons.cli,Builder,addOption,"(Option opt)",1
org.apache.commons.cli,Builder,build,"()",1
org.apache.commons.cli,Builder,get,"()",1
org.apache.commons.cli,Builder,setDeprecatedHandler,"(Consumer<Option> deprecatedHandler)",1
org.apache.commons.cli,DefaultParser,builder,"()",1
org.apache.commons.cli,DefaultParser,indexOfEqual,"(String token)",1
org.apache.commons.cli,DefaultParser,checkRequiredArgs,"()",1
org.apache.commons.cli,DefaultParser,checkRequiredOptions,"()",1
org.apache.commons.cli,DefaultParser,getMatchingLongOptions,"(String token)",1
org.apache.commons.cli,DefaultParser,handleLongOption,"(String token)",1
org.apache.commons.cli,DefaultParser,handleLongOptionWithEqual,"(String token)",1
org.apache.commons.cli,DefaultParser,handleLongOptionWithoutEqual,"(String token)",1
org.apache.commons.cli,DefaultParser,handleOption,"(Option option)",1
org.apache.commons.cli,DefaultParser,handleShortAndLongOption,"(String hyphenToken)",1
org.apache.commons.cli,DefaultParser,handleToken,"(String token)",1
org.apache.commons.cli,DefaultParser,handleUnknownToken,"(String token)",1
org.apache.commons.cli,DefaultParser,isArgument,"(String token)",1
org.apache.commons.cli,DefaultParser,isJavaProperty,"(String token)",1
org.apache.commons.cli,DefaultParser,isLongOption,"(String token)",1
org.apache.commons.cli,DefaultParser,isOption,"(String token)",1
org.apache.commons.cli,DefaultParser,isShortOption,"(String token)",1
org.apache.commons.cli,DefaultParser,parse,"(Options options, String[] arguments)",1
org.apache.commons.cli,DefaultParser,parse,"(Options options, String[] arguments, boolean stopAtNonOption)",1
org.apache.commons.cli,DefaultParser,parse,"(Options options, String[] arguments, Properties properties)",1
org.apache.commons.cli,DefaultParser,stripLeadingAndTrailingQuotesDefaultOff,"(String token)",1
org.apache.commons.cli,DefaultParser,stripLeadingAndTrailingQuotesDefaultOn,"(String token)",1
org.apache.commons.cli,DefaultParser,updateRequiredOptions,"(Option option)",1
org.apache.commons.cli,Builder,build,"()",1
org.apache.commons.cli,Builder,get,"()",1
org.apache.commons.cli,Builder,setAllowPartialMatching,"(boolean allowPartialMatching)",1
org.apache.commons.cli,Builder,setDeprecatedHandler,"(Consumer<Option> deprecatedHandler)",1
org.apache.commons.cli,Builder,setStripLeadingAndTrailingQuotes,"(Boolean stripLeadingAndTrailingQuotes)",1
org.apache.commons.cli,DeprecatedAttributes,builder,"()",1
org.apache.commons.cli,DeprecatedAttributes,getDescription,"()",1
org.apache.commons.cli,DeprecatedAttributes,getSince,"()",1
org.apache.commons.cli,DeprecatedAttributes,isForRemoval,"()",1
org.apache.commons.cli,DeprecatedAttributes,toEmpty,"(String since)",1
org.apache.commons.cli,DeprecatedAttributes,toString,"()",1
org.apache.commons.cli,Builder,get,"()",1
org.apache.commons.cli,Builder,setDescription,"(String description)",1
org.apache.commons.cli,Builder,setForRemoval,"(boolean forRemoval)",1
org.apache.commons.cli,Builder,setSince,"(String since)",1
org.apache.commons.cli,HelpFormatter,builder,"()",1
org.apache.commons.cli,HelpFormatter,createDefaultPrintWriter,"()",1
org.apache.commons.cli,HelpFormatter,getDescription,"(Option option)",1
org.apache.commons.cli,HelpFormatter,appendOption,"(StringBuilder buff, Option option, boolean required)",1
org.apache.commons.cli,HelpFormatter,createPadding,"(int len)",1
org.apache.commons.cli,HelpFormatter,determineMaxSinceLength,"(Options options)",1
org.apache.commons.cli,HelpFormatter,getArgName,"()",1
org.apache.commons.cli,HelpFormatter,getDescPadding,"()",1
org.apache.commons.cli,HelpFormatter,getLeftPadding,"()",1
org.apache.commons.cli,HelpFormatter,getLongOptPrefix,"()",1
org.apache.commons.cli,HelpFormatter,getLongOptSeparator,"()",1
org.apache.commons.cli,HelpFormatter,getNewLine,"()",1
org.apache.commons.cli,HelpFormatter,getOptionComparator,"()",1
org.apache.commons.cli,HelpFormatter,getOptPrefix,"()",1
org.apache.commons.cli,HelpFormatter,getSyntaxPrefix,"()",1
org.apache.commons.cli,HelpFormatter,getWidth,"()",1
org.apache.commons.cli,HelpFormatter,printHelp,"(int width, String cmdLineSyntax, String header, Options options, String footer)",1
org.apache.commons.cli,HelpFormatter,printHelp,"(int width, String cmdLineSyntax, String header, Options options, String footer, boolean autoUsage)",1
org.apache.commons.cli,HelpFormatter,printHelp,"(PrintWriter pw, int width, String cmdLineSyntax, String header, Options options, int leftPad, int descPad, String footer)",1
org.apache.commons.cli,HelpFormatter,printHelp,"(PrintWriter pw, int width, String cmdLineSyntax, String header, Options options, int leftPad, int descPad, String footer, boolean autoUsage)",1
org.apache.commons.cli,HelpFormatter,printHelp,"(String cmdLineSyntax, Options options)",1
org.apache.commons.cli,HelpFormatter,printHelp,"(String cmdLineSyntax, Options options, boolean autoUsage)",1
org.apache.commons.cli,HelpFormatter,printHelp,"(String cmdLineSyntax, String header, Options options, String footer)",1
org.apache.commons.cli,HelpFormatter,printHelp,"(String cmdLineSyntax, String header, Options options, String footer, boolean autoUsage)",1
org.apache.commons.cli,HelpFormatter,printUsage,"(PrintWriter pw, int width, String cmdLineSyntax)",1
org.apache.commons.cli,HelpFormatter,printWrapped,"(PrintWriter pw, int width, int nextLineTabStop, String text)",1
org.apache.commons.cli,HelpFormatter,printWrapped,"(PrintWriter pw, int width, String text)",1
org.apache.commons.cli,HelpFormatter,setArgName,"(String name)",1
org.apache.commons.cli,HelpFormatter,setDescPadding,"(int padding)",1
org.apache.commons.cli,HelpFormatter,setLeftPadding,"(int padding)",1
org.apache.commons.cli,HelpFormatter,setLongOptPrefix,"(String prefix)",1
org.apache.commons.cli,HelpFormatter,setLongOptSeparator,"(String longOptSeparator)",1
org.apache.commons.cli,HelpFormatter,setNewLine,"(String newline)",1
org.apache.commons.cli,HelpFormatter,setOptionComparator,"(Comparator<Option> comparator)",1
org.apache.commons.cli,HelpFormatter,setOptPrefix,"(String prefix)",1
org.apache.commons.cli,HelpFormatter,setSyntaxPrefix,"(String prefix)",1
org.apache.commons.cli,HelpFormatter,setWidth,"(int width)",1
org.apache.commons.cli,Builder,get,"()",1
org.apache.commons.cli,Builder,setPrintWriter,"(PrintWriter printWriter)",1
org.apache.commons.cli,Builder,setShowDeprecated,"(boolean useDefaultFormat)",1
org.apache.commons.cli,Builder,setShowDeprecated,"(Function<Option,String> deprecatedFormatFunction)",1
org.apache.commons.cli,Builder,setShowSince,"(boolean showSince)",1
org.apache.commons.cli,OptionComparator,compare,"(Option opt1, Option opt2)",1
org.apache.commons.cli,MissingArgumentException,getOption,"()",1
org.apache.commons.cli,MissingOptionException,getMissingOptions,"()",1
org.apache.commons.cli,Option,builder,"()",1
org.apache.commons.cli,Option,builder,"(String option)",1
org.apache.commons.cli,Option,acceptsArg,"()",1
org.apache.commons.cli,Option,add,"(String value)",1
org.apache.commons.cli,Option,addValue,"(String value)",1
org.apache.commons.cli,Option,clearValues,"()",1
org.apache.commons.cli,Option,equals,"(Object obj)",1
org.apache.commons.cli,Option,getArgName,"()",1
org.apache.commons.cli,Option,getArgs,"()",1
org.apache.commons.cli,Option,getConverter,"()",1
org.apache.commons.cli,Option,getDeprecated,"()",1
org.apache.commons.cli,Option,getDescription,"()",1
org.apache.commons.cli,Option,getId,"()",1
org.apache.commons.cli,Option,getKey,"()",1
org.apache.commons.cli,Option,getLongOpt,"()",1
org.apache.commons.cli,Option,getOpt,"()",1
org.apache.commons.cli,Option,getSince,"()",1
org.apache.commons.cli,Option,getType,"()",1
org.apache.commons.cli,Option,getValue,"()",1
org.apache.commons.cli,Option,getValue,"(int index)",1
org.apache.commons.cli,Option,getValue,"(String defaultValue)",1
org.apache.commons.cli,Option,getValues,"()",1
org.apache.commons.cli,Option,getValueSeparator,"()",1
org.apache.commons.cli,Option,getValuesList,"()",1
org.apache.commons.cli,Option,hasArg,"()",1
org.apache.commons.cli,Option,hasArgName,"()",1
org.apache.commons.cli,Option,hasArgs,"()",1
org.apache.commons.cli,Option,hashCode,"()",1
org.apache.commons.cli,Option,hasLongOpt,"()",1
org.apache.commons.cli,Option,hasNoValues,"()",1
org.apache.commons.cli,Option,hasOptionalArg,"()",1
org.apache.commons.cli,Option,hasValueSeparator,"()",1
org.apache.commons.cli,Option,isDeprecated,"()",1
org.apache.commons.cli,Option,isRequired,"()",1
org.apache.commons.cli,Option,processValue,"(String value)",1
org.apache.commons.cli,Option,requiresArg,"()",1
org.apache.commons.cli,Option,setArgName,"(String argName)",1
org.apache.commons.cli,Option,setArgs,"(int num)",1
org.apache.commons.cli,Option,setConverter,"(Converter<?,?> converter)",1
org.apache.commons.cli,Option,setDescription,"(String description)",1
org.apache.commons.cli,Option,setLongOpt,"(String longOpt)",1
org.apache.commons.cli,Option,setOptionalArg,"(boolean optionalArg)",1
org.apache.commons.cli,Option,setRequired,"(boolean required)",1
org.apache.commons.cli,Option,setType,"(Class<?> type)",1
org.apache.commons.cli,Option,setType,"(Object type)",1
org.apache.commons.cli,Option,setValueSeparator,"(char valueSeparator)",1
org.apache.commons.cli,Option,toDeprecatedString,"()",1
org.apache.commons.cli,Option,toString,"()",1
org.apache.commons.cli,Builder,toType,"(Class<?> type)",1
org.apache.commons.cli,Builder,argName,"(String argName)",1
org.apache.commons.cli,Builder,build,"()",1
org.apache.commons.cli,Builder,converter,"(Converter<?,?> converter)",1
org.apache.commons.cli,Builder,deprecated,"()",1
org.apache.commons.cli,Builder,deprecated,"(DeprecatedAttributes deprecated)",1
org.apache.commons.cli,Builder,desc,"(String description)",1
org.apache.commons.cli,Builder,hasArg,"()",1
org.apache.commons.cli,Builder,hasArg,"(boolean hasArg)",1
org.apache.commons.cli,Builder,hasArgs,"()",1
org.apache.commons.cli,Builder,longOpt,"(String longOption)",1
